                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1765,                 3.0773,                 1.1379,                0.99035,                0.32589,                0.49363,                0.32963,                0.96362,                 3.1266,                 1.1088,                0.07075,                0.00325,                0.00325
                      1,                0.97181,                 1.3387,                0.99485,                      1,                0.20729,                0.70188,                0.46559,                 1.0562,                 2.8305,                 1.1864,               0.040717,              0.0065507,              0.0065507
                      2,                 1.0276,                 1.2532,                 1.0188,                0.47881,                0.47728,                0.48267,                0.26949,                 1.2729,                 2.6728,                 1.2824,               0.010652,              0.0098185,              0.0098185
                      3,                 1.0194,                 1.1697,                 1.0197,                0.55926,                0.62284,                0.66309,                0.37352,                 1.2632,                 2.0259,                 1.2709,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.0005,                  1.129,                 1.0341,                0.47469,                 0.5789,                 0.5133,                 0.2608,                 1.5163,                 2.4567,                 1.4825,              0.0098515,              0.0098515,              0.0098515
                      5,                0.98602,                 1.0132,                 1.0127,                0.57452,                0.42034,                0.45921,                 0.2624,                   1.46,                 2.7385,                 1.5011,               0.009802,               0.009802,               0.009802
                      6,                0.97788,                0.95243,                 1.0138,                0.43357,                0.38829,                0.41258,                0.21951,                   1.75,                 2.7884,                 1.6947,              0.0097525,              0.0097525,              0.0097525
                      7,                0.90521,                0.93405,                 1.0107,                0.77704,                0.48916,                0.52003,                0.31963,                 1.4554,                  2.242,                 1.4319,               0.009703,               0.009703,               0.009703
                      8,                0.93355,                0.88044,                 1.0115,                0.53941,                0.41761,                0.49882,                0.28051,                 1.5516,                 2.3731,                 1.5571,              0.0096535,              0.0096535,              0.0096535
                      9,                0.90422,                0.83783,                 1.0011,                0.58546,                0.46369,                0.53506,                0.31806,                 1.5488,                 2.0796,                 1.5312,               0.009604,               0.009604,               0.009604
                     10,                0.88569,                0.79145,                 1.0035,                0.64019,                0.60115,                0.58633,                0.35163,                 1.4949,                 1.8602,                 1.4338,              0.0095545,              0.0095545,              0.0095545
                     11,                0.87743,                0.76584,                0.99294,                0.62547,                0.49604,                0.46286,                 0.2479,                 1.6768,                 2.4838,                 1.6041,               0.009505,               0.009505,               0.009505
                     12,                  0.866,                0.75798,                0.99082,                0.45338,                0.46078,                 0.4423,                0.24476,                 1.7767,                  2.586,                  1.639,              0.0094555,              0.0094555,              0.0094555
                     13,                0.84191,                 0.7247,                0.98543,                 0.7627,                0.53301,                0.56895,                0.35521,                  1.736,                 1.8512,                 1.6223,               0.009406,               0.009406,               0.009406
                     14,                 0.8201,                0.72352,                0.97421,                0.90661,                0.44872,                 0.4962,                0.29391,                 1.6362,                 2.6432,                 1.5191,              0.0093565,              0.0093565,              0.0093565
                     15,                0.84284,                 0.6906,                0.98233,                0.76799,                0.54761,                0.62523,                0.33616,                 1.7594,                 1.6962,                 1.6596,               0.009307,               0.009307,               0.009307
                     16,                0.81626,                0.66021,                0.96848,                0.69126,                0.48906,                0.55566,                0.35317,                 1.5975,                 2.0256,                 1.5878,              0.0092575,              0.0092575,              0.0092575
                     17,                0.80482,                0.65967,                0.96772,                0.61811,                0.46521,                0.52963,                0.33356,                 1.5438,                  2.396,                 1.4707,               0.009208,               0.009208,               0.009208
                     18,                0.82471,                0.67278,                0.97559,                0.47088,                0.46795,                0.52032,                0.34459,                  1.512,                 2.3708,                 1.4758,              0.0091585,              0.0091585,              0.0091585
                     19,                0.78494,                0.64009,                0.97558,                0.95985,                0.44049,                0.50276,                0.33367,                 1.5219,                 2.5816,                 1.5536,               0.009109,               0.009109,               0.009109
                     20,                0.77793,                0.61294,                0.96252,                0.45211,                0.42363,                0.48305,                0.30798,                 1.4898,                 2.5543,                 1.4724,              0.0090595,              0.0090595,              0.0090595
                     21,                0.79387,                0.61906,                0.96114,                0.92005,                0.48527,                0.53986,                0.34004,                 1.5472,                 2.5728,                 1.5112,                0.00901,                0.00901,                0.00901
                     22,                0.78086,                 0.6156,                 0.9651,                0.76439,                 0.4935,                0.56593,                0.33467,                 1.6226,                 2.3412,                 1.5153,              0.0089605,              0.0089605,              0.0089605
                     23,                0.75979,                0.58784,                0.95548,                0.83871,                0.48812,                0.61588,                0.39997,                 1.4319,                 2.2326,                 1.3786,               0.008911,               0.008911,               0.008911
                     24,                0.75768,                0.59213,                0.95548,                0.75026,                0.46977,                0.55468,                0.32267,                  1.488,                 2.5423,                 1.4495,              0.0088615,              0.0088615,              0.0088615
                     25,                0.74704,                0.57767,                0.95084,                0.75435,                0.50681,                0.59008,                0.35125,                  1.759,                  2.259,                 1.6698,               0.008812,               0.008812,               0.008812
                     26,                0.77061,                0.58963,                0.95068,                0.63845,                0.59285,                0.62924,                0.38977,                 1.4861,                 1.6324,                 1.4968,              0.0087625,              0.0087625,              0.0087625
                     27,                0.73884,                0.56927,                0.94757,                0.63199,                0.50924,                0.54015,                0.34334,                 1.4788,                 2.4353,                 1.4577,               0.008713,               0.008713,               0.008713
                     28,                0.73373,                 0.5701,                0.94857,                0.40093,                0.44231,                0.49144,                0.30448,                 1.6104,                 2.4726,                 1.4588,              0.0086635,              0.0086635,              0.0086635
                     29,                0.72545,                0.55982,                0.93665,                0.66609,                0.63433,                0.64051,                0.40583,                 1.5059,                 1.7042,                 1.4769,               0.008614,               0.008614,               0.008614
                     30,                0.72904,                0.55167,                0.94353,                 0.5624,                  0.507,                0.51096,                0.32241,                 1.5133,                 2.3511,                 1.4479,              0.0085645,              0.0085645,              0.0085645
                     31,                0.73306,                0.55548,                0.94247,                0.93408,                0.46154,                0.54918,                0.37153,                 1.4142,                 2.5707,                 1.3597,               0.008515,               0.008515,               0.008515
                     32,                0.74717,                0.55056,                0.96611,                 0.5735,                0.48525,                0.54532,                0.36328,                 1.3312,                 2.4892,                 1.3302,              0.0084655,              0.0084655,              0.0084655
                     33,                0.73099,                0.54318,                0.94746,                0.77892,                0.55882,                0.61985,                0.43697,                 1.2715,                 2.1545,                 1.3129,               0.008416,               0.008416,               0.008416
                     34,                0.71375,                 0.5398,                 0.9361,                0.62126,                0.61859,                0.61061,                0.38601,                 1.6724,                 1.7688,                  1.599,              0.0083665,              0.0083665,              0.0083665
                     35,                0.71213,                0.54466,                0.93938,                0.95985,                0.44056,                0.52299,                0.35653,                 1.4372,                 2.6559,                 1.4186,               0.008317,               0.008317,               0.008317
                     36,                0.71125,                0.53274,                 0.9455,                  0.616,                0.50774,                0.48349,                0.28413,                 1.6733,                 2.8303,                 1.5593,              0.0082675,              0.0082675,              0.0082675
                     37,                0.70744,                0.53175,                0.93632,                0.56288,                0.51933,                0.50485,                 0.3065,                 1.7336,                 2.7409,                 1.6393,               0.008218,               0.008218,               0.008218
                     38,                0.70124,                0.52989,                0.94009,                0.68114,                  0.546,                0.61923,                0.40218,                  1.419,                 2.0831,                 1.3915,              0.0081685,              0.0081685,              0.0081685
                     39,                0.71363,                0.53914,                0.95607,                0.77434,                0.55882,                0.66043,                0.41846,                 1.3552,                 2.0051,                 1.3234,               0.008119,               0.008119,               0.008119
                     40,                0.70393,                0.52217,                0.94037,                0.61486,                0.54424,                 0.5693,                0.35595,                  1.502,                  2.321,                 1.4146,              0.0080695,              0.0080695,              0.0080695
                     41,                0.67977,                0.49671,                0.91835,                0.93658,                0.44231,                0.49326,                0.33764,                 1.6783,                 2.7343,                 1.5919,                0.00802,                0.00802,                0.00802
                     42,                0.70096,                0.51512,                0.94122,                0.68187,                0.60756,                0.67293,                 0.4452,                 1.4324,                  1.943,                 1.4145,              0.0079705,              0.0079705,              0.0079705
                     43,                0.67105,                0.49953,                0.92432,                0.69488,                0.61397,                0.71404,                0.48105,                 1.3036,                 1.8805,                 1.2879,               0.007921,               0.007921,               0.007921
                     44,                0.68613,                0.50453,                0.92774,                0.52699,                0.60548,                0.60897,                0.41842,                 1.2397,                 1.9813,                 1.2808,              0.0078715,              0.0078715,              0.0078715
                     45,                0.68345,                0.50025,                0.92976,                0.57105,                0.47364,                0.52175,                0.36645,                 1.4614,                 2.3888,                 1.4288,               0.007822,               0.007822,               0.007822
                     46,                0.68035,                0.50012,                0.92978,                0.68207,                 0.5069,                0.55452,                0.36241,                 1.4975,                 2.3932,                 1.4621,              0.0077725,              0.0077725,              0.0077725
                     47,                0.67089,                0.48162,                0.92408,                0.96559,                0.43364,                0.55959,                0.38996,                 1.4477,                 2.5765,                  1.372,               0.007723,               0.007723,               0.007723
                     48,                0.65982,                0.47962,                0.92155,                0.95899,                0.45513,                0.53889,                0.37437,                 1.3925,                 2.7766,                 1.3359,              0.0076735,              0.0076735,              0.0076735
                     49,                0.66216,                0.49024,                0.92614,                0.77959,                0.49274,                0.58253,                0.39457,                 1.4086,                 2.1472,                  1.404,               0.007624,               0.007624,               0.007624
                     50,                0.67652,                0.47972,                0.92962,                0.61104,                0.55589,                0.59065,                0.39414,                 1.3521,                 2.2783,                 1.3124,              0.0075745,              0.0075745,              0.0075745
                     51,                 0.6442,                0.47097,                0.91921,                0.68615,                0.51478,                0.56147,                 0.3576,                 1.5135,                 2.5788,                 1.4766,               0.007525,               0.007525,               0.007525
                     52,                 0.6489,                0.47907,                0.91869,                0.74964,                0.53353,                0.64503,                0.41804,                 1.4146,                  2.157,                 1.3688,              0.0074755,              0.0074755,              0.0074755
                     53,                0.65492,                0.47912,                0.92412,                0.56529,                0.51933,                0.61486,                0.38701,                 1.5797,                 2.3116,                  1.468,               0.007426,               0.007426,               0.007426
                     54,                0.63919,                0.46414,                 0.9155,                0.62744,                0.55882,                0.62382,                 0.4124,                 1.3787,                 1.9681,                 1.3552,              0.0073765,              0.0073765,              0.0073765
                     55,                0.65237,                 0.4724,                0.91913,                0.69195,                0.55515,                0.63779,                0.40167,                 1.4303,                 1.7603,                 1.4149,               0.007327,               0.007327,               0.007327
                     56,                 0.6526,                0.45959,                0.91419,                 0.9261,                0.47436,                0.54408,                0.34583,                 1.5753,                 2.4801,                 1.5233,              0.0072775,              0.0072775,              0.0072775
                     57,                0.63125,                 0.4601,                0.92209,                0.92312,                0.44872,                0.54792,                0.36913,                 1.4368,                 2.7628,                 1.4537,               0.007228,               0.007228,               0.007228
                     58,                0.65396,                0.46252,                0.92198,                0.69063,                0.50819,                  0.564,                0.38328,                 1.4426,                 2.5498,                 1.4195,              0.0071785,              0.0071785,              0.0071785
                     59,                0.64966,                0.46937,                0.91357,                0.67139,                0.52206,                0.56954,                0.36932,                 1.3149,                 2.5406,                 1.3492,               0.007129,               0.007129,               0.007129
                     60,                0.63739,                0.45258,                0.90926,                0.79346,                  0.523,                0.62648,                0.39469,                 1.3302,                 2.3731,                 1.3578,              0.0070795,              0.0070795,              0.0070795
                     61,                0.62815,                0.45284,                0.91134,                0.71988,                0.57205,                0.65519,                0.41814,                 1.3698,                 1.9453,                 1.3445,                0.00703,                0.00703,                0.00703
                     62,                 0.6213,                0.44691,                0.90238,                0.83005,                0.67619,                0.72511,                0.48106,                 1.2726,                 1.4174,                 1.3573,              0.0069805,              0.0069805,              0.0069805
                     63,                0.62603,                0.45179,                 0.9084,                0.77783,                0.58777,                0.70957,                0.48607,                 1.2711,                 1.6807,                 1.3491,               0.006931,               0.006931,               0.006931
                     64,                0.62077,                0.44634,                0.90323,                 0.7549,                0.55018,                0.67696,                0.47697,                 1.2925,                 2.0602,                 1.3022,              0.0068815,              0.0068815,              0.0068815
                     65,                0.61505,                0.43683,                0.90538,                0.66409,                0.51565,                0.60505,                0.39808,                 1.4404,                 2.3523,                 1.3382,               0.006832,               0.006832,               0.006832
                     66,                0.60632,                0.43159,                 0.9033,                0.61944,                0.54822,                 0.6007,                0.39776,                 1.5232,                 2.2099,                 1.4161,              0.0067825,              0.0067825,              0.0067825
                     67,                0.62241,                0.43603,                0.91136,                0.55163,                0.52249,                0.58647,                0.38496,                 1.4351,                 2.3822,                 1.3539,               0.006733,               0.006733,               0.006733
                     68,                0.61811,                 0.4382,                0.89771,                0.45524,                0.45638,                0.52602,                 0.3521,                 1.6152,                 2.6774,                 1.4752,              0.0066835,              0.0066835,              0.0066835
                     69,                0.60498,                 0.4307,                0.90903,                0.66518,                0.58148,                0.63323,                0.42466,                  1.377,                 2.1444,                 1.3698,               0.006634,               0.006634,               0.006634
                     70,                0.62008,                0.43387,                0.91226,                0.59594,                0.49453,                 0.6191,                 0.4358,                 1.3407,                 2.4429,                 1.3093,              0.0065845,              0.0065845,              0.0065845
                     71,                0.60067,                0.42908,                0.90318,                0.71764,                0.52762,                0.58935,                0.42432,                 1.3743,                 2.2778,                 1.3607,               0.006535,               0.006535,               0.006535
                     72,                0.59865,                0.42207,                0.90066,                0.68741,                0.55156,                0.57801,                0.41109,                 1.2915,                  1.761,                 1.3254,              0.0064855,              0.0064855,              0.0064855
                     73,                0.59412,                0.42214,                0.89123,                0.69346,                0.68303,                0.69647,                0.48799,                 1.2363,                 1.5367,                 1.3055,               0.006436,               0.006436,               0.006436
                     74,                0.59067,                0.42462,                0.89415,                0.71187,                0.64189,                0.71494,                0.49782,                 1.2843,                 1.6618,                 1.3102,              0.0063865,              0.0063865,              0.0063865
                     75,                0.59672,                 0.4307,                0.89929,                0.71532,                0.50799,                0.54638,                0.38437,                 1.4068,                 2.4337,                 1.4098,               0.006337,               0.006337,               0.006337
                     76,                 0.5944,                0.42275,                0.90382,                0.41631,                0.41454,                0.43636,                0.31994,                 1.3438,                 3.0245,                 1.3301,              0.0062875,              0.0062875,              0.0062875
                     77,                0.59079,                0.41747,                0.89788,                 0.6762,                0.51942,                0.58224,                0.38812,                 1.4207,                 2.3718,                  1.366,               0.006238,               0.006238,               0.006238
                     78,                0.57073,                0.41292,                0.89876,                0.64507,                0.53592,                  0.577,                0.39571,                 1.3505,                 2.1371,                 1.3616,              0.0061885,              0.0061885,              0.0061885
                     79,                0.58463,                0.40807,                0.90404,                0.48728,                0.54506,                0.53384,                0.35432,                 1.5021,                 2.4468,                 1.4819,               0.006139,               0.006139,               0.006139
                     80,                0.59133,                0.42026,                0.89896,                0.46399,                0.41299,                 0.4972,                0.34216,                 1.4373,                 2.8675,                 1.4022,              0.0060895,              0.0060895,              0.0060895
                     81,                0.58705,                0.41329,                0.89816,                0.93929,                0.46389,                0.52959,                0.36815,                 1.4265,                 2.7499,                 1.3975,                0.00604,                0.00604,                0.00604
                     82,                0.58758,                0.42048,                0.90002,                0.44308,                0.45513,                0.54445,                0.35602,                 1.5402,                 2.6098,                 1.4573,              0.0059905,              0.0059905,              0.0059905
                     83,                0.57125,                0.41083,                0.89854,                0.71971,                  0.546,                0.60148,                0.39736,                  1.397,                  1.916,                 1.3785,               0.005941,               0.005941,               0.005941
                     84,                0.58222,                0.41086,                0.90061,                0.59854,                0.55703,                 0.5879,                0.39598,                 1.3734,                 2.2676,                 1.3469,              0.0058915,              0.0058915,              0.0058915
                     85,                0.57345,                0.40323,                 0.8957,                0.56752,                0.45239,                0.54392,                0.38438,                 1.4141,                 2.7013,                 1.3876,               0.005842,               0.005842,               0.005842
                     86,                0.56668,                0.40121,                0.89664,                0.67729,                0.58459,                0.63951,                0.44491,                 1.2621,                 1.9309,                 1.3045,              0.0057925,              0.0057925,              0.0057925
                     87,                0.54419,                 0.3874,                0.88506,                0.69824,                0.44808,                0.55576,                0.37562,                 1.3927,                 2.5525,                 1.3268,               0.005743,               0.005743,               0.005743
                     88,                0.56813,                0.40588,                 0.8905,                0.95262,                0.41026,                0.55338,                0.36614,                 1.3764,                 2.6496,                 1.3392,              0.0056935,              0.0056935,              0.0056935
                     89,                0.55432,                0.39273,                0.88662,                 0.6228,                0.54318,                0.58928,                 0.4146,                 1.4155,                 2.1534,                 1.3785,               0.005644,               0.005644,               0.005644
                     90,                0.56535,                 0.3946,                0.89062,                0.56121,                0.55618,                0.58679,                0.37435,                  1.474,                 2.0383,                 1.4164,              0.0055945,              0.0055945,              0.0055945
                     91,                0.55778,                0.39458,                0.88473,                0.73992,                0.53874,                 0.6314,                0.43322,                 1.4209,                 2.0341,                 1.3743,               0.005545,               0.005545,               0.005545
                     92,                0.57125,                0.39764,                 0.8955,                0.68382,                0.48822,                0.60841,                0.43693,                 1.3508,                 2.2611,                 1.3705,              0.0054955,              0.0054955,              0.0054955
                     93,                0.56093,                0.39839,                0.88608,                0.61604,                0.55984,                0.63733,                 0.4423,                 1.3275,                 1.9169,                 1.3335,               0.005446,               0.005446,               0.005446
                     94,                0.55336,                 0.3854,                0.88792,                0.79713,                0.52027,                  0.606,                0.41577,                 1.3155,                 2.1679,                 1.3381,              0.0053965,              0.0053965,              0.0053965
                     95,                0.54168,                0.38495,                0.88526,                0.46422,                0.42308,                0.55754,                0.39488,                 1.3831,                 2.8205,                 1.3238,               0.005347,               0.005347,               0.005347
